Text,Topics
" 9 Offences abolished.E+W+S(1)The common law offences of riot, rout, unlawful assembly and affray are abolished.","['0.158*""offences"" + 0.105*""riot"" + 0.105*""common"" + 0.105*""unlawful"" + 0.105*""rout""']"
 (2)The offences under the following enactments are abolished—,"['0.333*""enactments"" + 0.333*""following"" + 0.333*""offences""']"
 Marginal CitationsM21661 c. 5. M31793 c. 67. M41817 c. 19. M51936 c. 6. 10 Construction of other instruments.E+WF8(1). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.500*""construction"" + 0.500*""marginal""']"
" (2)In Schedule 1 to the M6Marine Insurance Act 1906 (form and rules for the construction of certain insurance policies) “rioters” in rule 8 and “riot” in rule 10 shall, in the application of the rules to any policy taking effect on or after the coming into force of this section, be construed in accordance with section 1 above unless a different intention appears.","['0.056*""insurance"" + 0.056*""rule"" + 0.056*""rules"" + 0.056*""section"" + 0.037*""intention""']"
 (3)“Riot” and cognate expressions in any enactment in force before the coming into force of this section (other than the enactments mentioned in subsections (1) and (2) above) shall be construed in accordance with section 1 above if they would have been construed in accordance with the common law offence of riot apart from this Part.,"['0.070*""construed"" + 0.070*""section"" + 0.070*""force"" + 0.070*""accordance"" + 0.070*""riot""']"
" (4)Subject to subsections (1) to (3) above and unless a different intention appears, nothing in this Part affects the meaning of “riot” or any cognate expression in any enactment in force, or other instrument taking effect, before the coming into force of this section.","['0.073*""force"" + 0.049*""riot"" + 0.049*""section"" + 0.049*""meaning"" + 0.049*""nothing""']"
" Textual AmendmentsF8S. 10(1) omitted (6.4.2017) by virtue of Riot Compensation Act 2016 (c. 8), ss. 10(3)(b), 12(1)(2); S.I. 2017/379, reg. 2Marginal CitationsM61906 c. 41. Part IIE+W+S Processions and Assemblies11 Advance notice of public processions.E+W(1)Written notice shall be given in accordance with this section of any proposal to hold a public procession intended—","['0.065*""notice"" + 0.065*""public"" + 0.043*""compensation"" + 0.043*""shall"" + 0.043*""procession""']"
 unless it is not reasonably practicable to give any advance notice of the procession.,"['0.143*""procession"" + 0.143*""practicable"" + 0.143*""unless"" + 0.143*""give"" + 0.143*""reasonably""']"
 (2)Subsection (1) does not apply where the procession is one commonly or customarily held in the police area (or areas) in which it is proposed to be held or is a funeral procession organised by a funeral director acting in the normal course of his business.,"['0.077*""funeral"" + 0.077*""held"" + 0.077*""procession"" + 0.051*""areas"" + 0.051*""acting""']"
" (3)The notice must specify the date when it is intended to hold the procession, the time when it is intended to start it, its proposed route, and the name and address of the person (or of one of the persons) proposing to organise it.","['0.081*""intended"" + 0.054*""notice"" + 0.054*""route"" + 0.054*""proposing"" + 0.054*""hold""']"
 (4)Notice must be delivered to a police station—,"['0.250*""delivered"" + 0.250*""must"" + 0.250*""notice"" + 0.250*""police""']"
" (5)If delivered not less than 6 clear days before the date when the procession is intended to be held, the notice may be delivered by post by the recorded delivery service; but section 7 of the M7Interpretation Act 1978 (under which a document sent by post is deemed to have been served when posted and to have been delivered in the ordinary course of post) does not apply.","['0.077*""post"" + 0.077*""delivered"" + 0.038*""course"" + 0.038*""delivery"" + 0.038*""sent""']"
" (6)If not delivered in accordance with subsection (5), the notice must be delivered by hand not less than 6 clear days before the date when the procession is intended to be held or, if that is not reasonably practicable, as soon as delivery is reasonably practicable.","['0.081*""practicable"" + 0.081*""delivered"" + 0.081*""reasonably"" + 0.054*""days"" + 0.054*""date""']"
" (7)Where a public procession is held, each of the persons organising it is guilty of an offence if—","['0.143*""persons"" + 0.143*""procession"" + 0.143*""held"" + 0.143*""organising"" + 0.143*""offence""']"
" (8)It is a defence for the accused to prove that he did not know of, and neither suspected nor had reason to suspect, the failure to satisfy the requirements or (as the case may be) the difference of date, time or route.","['0.059*""route"" + 0.059*""prove"" + 0.059*""date"" + 0.059*""time"" + 0.059*""requirements""']"
" (9)To the extent that an alleged offence turns on a difference of date, time or route, it is a defence for the accused to prove that the difference arose from circumstances beyond his control or from something done with the agreement of a police officer or by his direction.","['0.070*""difference"" + 0.047*""agreement"" + 0.047*""prove"" + 0.047*""time"" + 0.047*""officer""']"
 (10)A person guilty of an offence under subsection (7) is liable on summary conviction to a fine not exceeding level 3 on the standard scale.,"['0.083*""scale"" + 0.083*""liable"" + 0.083*""conviction"" + 0.083*""fine"" + 0.083*""offence""']"
" Marginal CitationsM71978 c. 30. 12 Imposing conditions on public processions.E+W+S(1)If the senior police officer, having regard to the time or place at which and the circumstances in which any public procession is being held or is intended to be held and to its route or proposed route, reasonably believes that—","['0.077*""held"" + 0.077*""route"" + 0.077*""public"" + 0.051*""intended"" + 0.051*""circumstances""']"
" [F9(aa)in the case of a procession in England and Wales, the noise generated by persons taking part in the procession may result in serious disruption to the activities of an organisation which are carried on in the vicinity of the procession,","['0.105*""procession"" + 0.053*""persons"" + 0.053*""serious"" + 0.053*""aa"" + 0.053*""part""']"
 (ab)in the case of a procession in England and Wales—,"['0.250*""ab"" + 0.250*""procession"" + 0.250*""case"" + 0.250*""england""']"
" (ii)that impact may be significant, or]","['0.250*""ii"" + 0.250*""impact"" + 0.250*""significant"" + 0.250*""may""']"
" he may give directions imposing on the persons organising or taking part in the procession such conditions as appear to him necessary to prevent such disorder, damage, disruption [F10, impact] or intimidation, including conditions as to the route of the procession or prohibiting it from entering any public place specified in the directions.","['0.057*""directions"" + 0.057*""conditions"" + 0.057*""procession"" + 0.038*""imposing"" + 0.038*""taking""']"
 (2)In subsection (1) “the senior police officer” means—,"['0.250*""senior"" + 0.250*""officer"" + 0.250*""police"" + 0.250*""subsection""']"
 [F11(2A)For the purposes of subsection (1)(a) [F12—,"['0.500*""subsection"" + 0.500*""purposes""']"
" (ii)the prevention of, or a delay that is more than minor to, the delivery of a time-sensitive product to consumers of that product, or","['0.200*""product"" + 0.133*""minor"" + 0.133*""prevention"" + 0.133*""delay"" + 0.133*""consumers""']"
" (iii)the prevention of, or a disruption that is more than minor to, access to any essential goods or any essential service,","['0.176*""essential"" + 0.118*""disruption"" + 0.118*""access"" + 0.118*""prevention"" + 0.118*""minor""']"
" (ii)may take into account any relevant cumulative disruption, and","['0.143*""relevant"" + 0.143*""ii"" + 0.143*""account"" + 0.143*""cumulative"" + 0.143*""disruption""']"
 (2B)In [F13subsection (2A) and this subsection—,[]
" “access to any essential goods or any essential service” includes, in particular, access to—","['0.214*""access"" + 0.214*""essential"" + 0.143*""goods"" + 0.143*""particular"" + 0.143*""includes""']"
" “area”, in relation to a public procession or public assembly, means such area as the senior police officer considers appropriate, having regard to the nature and extent of the disruption that may result from the procession or assembly;","['0.079*""procession"" + 0.079*""assembly"" + 0.079*""public"" + 0.079*""area"" + 0.053*""officer""']"
" “relevant cumulative disruption”, in relation to a public procession in England and Wales, means the cumulative disruption to the life of the community resulting from—","['0.115*""disruption"" + 0.115*""cumulative"" + 0.077*""relevant"" + 0.077*""public"" + 0.077*""relation""']"
" and it does not matter whether or not the procession mentioned in paragraph (a) and any procession or assembly within paragraph (b) or (c) are organised by the same person, are attended by any of the same persons or are held or are intended to be held at the same time;","['0.086*""procession"" + 0.086*""held"" + 0.086*""paragraph"" + 0.057*""organised"" + 0.057*""attended""']"
" “relevant disruption”, in relation to a public procession in England and Wales, means all disruption to the life of the community—","['0.158*""disruption"" + 0.105*""procession"" + 0.105*""life"" + 0.105*""wales"" + 0.105*""relation""']"
 “time-sensitive product” means a product whose value or use to its consumers may be significantly reduced by a delay in the supply of the product to them.,"['0.167*""product"" + 0.083*""consumers"" + 0.083*""whose"" + 0.083*""means"" + 0.083*""reduced""']"
" (2C)For the purposes of subsection (1)(aa), the cases in which the noise generated by persons taking part in a public procession may result in serious disruption to the activities of an organisation which are carried on in the vicinity of the procession include, in particular, where it may result in persons connected with the organisation not being reasonably able, for a prolonged period of time, to carry on in that vicinity the activities or any one of them.","['0.046*""activities"" + 0.046*""procession"" + 0.046*""may"" + 0.046*""vicinity"" + 0.046*""result""']"
" (2D)For the purposes of subsection (1)(ab)(i), the noise generated by persons taking part in a public procession may have a relevant impact on persons in the vicinity of the procession if—","['0.100*""persons"" + 0.100*""procession"" + 0.067*""noise"" + 0.067*""vicinity"" + 0.067*""may""']"
" (2E)In considering for the purposes of subsection (1)(ab)(ii) whether the noise generated by persons taking part in a public procession may have a significant impact on persons in the vicinity of the procession, the senior police officer must have regard to—","['0.065*""persons"" + 0.065*""procession"" + 0.043*""senior"" + 0.043*""may"" + 0.043*""ii""']"
 (3)A direction given by a chief officer of police by virtue of subsection (2)(b) shall be given in writing.,"['0.143*""given"" + 0.095*""virtue"" + 0.095*""subsection"" + 0.095*""police"" + 0.095*""officer""']"
" (4)[F14Subject to subsection (5A), a person] who organises a public procession and F15... fails to comply with a condition imposed under this section is guilty of an offence, but it is a defence for him to prove that the failure arose from circumstances beyond his control.","['0.053*""comply"" + 0.053*""failure"" + 0.053*""public"" + 0.053*""guilty"" + 0.053*""organises""']"
" (5)[F16Subject to subsection (5A), a person] who takes part in a public procession and F17... fails to comply with a condition imposed under this section is guilty of an offence, but it is a defence for him to prove that the failure arose from circumstances beyond his control.","['0.050*""defence"" + 0.050*""public"" + 0.050*""subsection"" + 0.050*""control"" + 0.050*""beyond""']"
 [F18(5A)A person is guilty of an offence under subsection (4) or (5) only if—,"['0.250*""person"" + 0.250*""offence"" + 0.250*""subsection"" + 0.250*""guilty""']"
 (6)A person who incites another to commit an offence under subsection (5) is guilty of an offence.,"['0.200*""offence"" + 0.133*""subsection"" + 0.133*""person"" + 0.133*""commit"" + 0.133*""another""']"
 (7)F19. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[]
 [F20(8)A person guilty of an offence under subsection (4) is liable on summary conviction—,"['0.167*""guilty"" + 0.167*""person"" + 0.167*""liable"" + 0.167*""subsection"" + 0.167*""offence""']"
 [F20(9)A person guilty of an offence under subsection (5) is liable on summary conviction—,"['0.167*""liable"" + 0.167*""person"" + 0.167*""guilty"" + 0.167*""summary"" + 0.167*""subsection""']"
 [F20(10)A person guilty of an offence under subsection (6) is liable on summary conviction—,"['0.167*""guilty"" + 0.167*""liable"" + 0.167*""offence"" + 0.167*""summary"" + 0.167*""subsection""']"
" [F20(10A)In relation to an offence committed before the coming into force of section 281(5) of the Criminal Justice Act 2003 (alteration of penalties for certain summary offences: England and Wales), the references in subsections (8)(a) and to (10)(a) to 51 weeks are to be read as references to 6 months.]","['0.070*""references"" + 0.047*""summary"" + 0.047*""offence"" + 0.047*""wales"" + 0.047*""force""']"
" (11)In Scotland this section applies only in relation to a procession being held, and to a procession intended to be held in a case where persons are assembling with a view to taking part in it.","['0.107*""held"" + 0.107*""procession"" + 0.071*""taking"" + 0.071*""scotland"" + 0.071*""persons""']"
 [F21(12)The Secretary of State may by regulations amend any of subsections (2A) to (2C) for the purposes of making provision about the meaning for the purposes of this section of—,"['0.130*""purposes"" + 0.087*""state"" + 0.087*""section"" + 0.087*""regulations"" + 0.087*""subsections""']"
" (13)Regulations under subsection (12) may, in particular, amend any of those subsections for the purposes of—","['0.143*""particular"" + 0.143*""subsections"" + 0.143*""regulations"" + 0.143*""purposes"" + 0.143*""subsection""']"
 (ii)serious disruption to the life of the community.,"['0.200*""ii"" + 0.200*""disruption"" + 0.200*""life"" + 0.200*""serious"" + 0.200*""community""']"
 (14)Regulations under subsection (12)—,"['0.500*""subsection"" + 0.500*""regulations""']"
 (15)A statutory instrument containing regulations under subsection (12) may not be made unless a draft of the instrument has been laid before and approved by a resolution of each House of Parliament.],"['0.103*""instrument"" + 0.069*""subsection"" + 0.069*""containing"" + 0.069*""made"" + 0.069*""resolution""']"
" Textual AmendmentsF9S. 12(1)(aa)(ab) substituted (28.6.2022) for word by Police, Crime, Sentencing and Courts Act 2022 (c. 32), ss. 73(2)(a), 208(1); S.I. 2022/520, reg. 5(i) (as amended by S.I. 2022/680, reg. 2(a))F10Word in s. 12(1) inserted (28.6.2022) by Police, Crime, Sentencing and Courts Act 2022 (c. 32), ss. 73(2)(b), 208(1); S.I. 2022/520, reg. 5(i) (as amended by S.I. 2022/680, reg. 2(a))F11S. 12(2A)-(2E) inserted (28.6.2022) by Police, Crime, Sentencing and Courts Act 2022 (c. 32), ss. 73(3), 208(1); S.I. 2022/520, reg. 5(i) (as amended by S.I. 2022/680, reg. 2(a))F12Words in s. 12(2A) substituted (15.6.2023) by The Public Order Act 1986 (Serious Disruption to the Life of the Community) Regulations 2023 (S.I. 2023/655), regs. 1(2), 2(2)F13Words in s. 12(2B) substituted (15.6.2023) by The Public Order Act 1986 (Serious Disruption to the Life of the Community) Regulations 2023 (S.I. 2023/655), regs. 1(2), 2(3)F14Words in s. 12(4) substituted (28.6.2022) by Police, Crime, Sentencing and Courts Act 2022 (c. 32), ss. 75(3)(a), 208(1); S.I. 2022/520, reg. 5(i)F15Word in s. 12(4) omitted (28.6.2022) by virtue of Police, Crime, Sentencing and Courts Act 2022 (c. 32), ss. 75(3)(b), 208(1); S.I. 2022/520, reg. 5(i)F16Words in s. 12(5) substituted (28.6.2022) by Police, Crime, Sentencing and Courts Act 2022 (c. 32), ss. 75(4)(a), 208(1); S.I. 2022/520, reg. 5(i)F17Word in s. 12(5) omitted (28.6.2022) by virtue of Police, Crime, Sentencing and Courts Act 2022 (c. 32), ss. 75(4)(b), 208(1); S.I. 2022/520, reg. 5(i)F18S. 12(5A) inserted (28.6.2022) by Police, Crime, Sentencing and Courts Act 2022 (c. 32), ss. 75(5), 208(1); S.I. 2022/520, reg. 5(i)F19S. 12(7) repealed (1.1.2006) by Serious Organised Crime and Police Act 2005 (c. 15), ss. 111, 174(2), 178(8), Sch. 7 para. 26(6), Sch 17 Pt. 2; S.I. 2005/3495, art. 2(m)(u)(xxvi)F20S. 12(8)-(10A) substituted for s. 12(8)-(10) (28.6.2022) by Police, Crime, Sentencing and Courts Act 2022 (c. 32), ss. 75(6), 208(1) (with s. 75(12)); S.I. 2022/520, reg. 5(i)F21S. 12(12)-(15) inserted (28.6.2022) by Police, Crime, Sentencing and Courts Act 2022 (c. 32), ss. 73(4), 208(1); S.I. 2022/520, reg. 5(i) (as amended by S.I. 2022/680, reg. 2(a))13 Prohibiting public processions.E+W(1)If at any time the chief officer of police reasonably believes that, because of particular circumstances existing in any district or part of a district, the powers under section 12 will not be sufficient to prevent the holding of public processions in that district or part from resulting in serious public disorder, he shall apply to the council of the district for an order prohibiting for such period not exceeding 3 months as may be specified in the application the holding of all public processions (or of any class of public procession so specified) in the district or part concerned.","['0.061*""reg"" + 0.057*""act"" + 0.053*""police"" + 0.049*""crime"" + 0.049*""ss""']"
