Text,Topics
" Public Order Act 2023 (c. 15) xmlns:atom=""http://www.w3.org/2005/Atom""      Public Order Act 20232023 CHAPTER 15An Act to make provision for new offences relating to public order; to make provision about stop and search powers; to make provision about the exercise of police functions relating to public order; to make provision about proceedings by the Secretary of State relating to protest-related activities; to make provision about serious disruption prevention orders; and for connected purposes.[2nd May 2023]Be it enacted by the King’s most Excellent Majesty, by and with the advice and consent of the Lords Spiritual and Temporal, and Commons, in this present Parliament assembled, and by the authority of the same, as follows:—","['0.058*""provision"" + 0.058*""make"" + 0.048*""order"" + 0.048*""public"" + 0.038*""relating""']"
 Part 1Public orderOffences relating to locking on1Offence of locking on(1)A person commits an offence if—,"['0.200*""locking"" + 0.133*""commits"" + 0.133*""offence"" + 0.133*""relating"" + 0.133*""part""']"
" (ii)attach a person to another person, to an object or to land, or","['0.231*""person"" + 0.154*""ii"" + 0.154*""object"" + 0.154*""land"" + 0.154*""another""']"
" (iii)attach an object to another object or to land,","['0.273*""object"" + 0.182*""another"" + 0.182*""iii"" + 0.182*""land"" + 0.182*""attach""']"
" (ii)an organisation,","['0.500*""ii"" + 0.500*""organisation""']"
" in a place other than a dwelling, and","['0.500*""dwelling"" + 0.500*""place""']"
 (2)It is a defence for a person charged with an offence under subsection (1) to prove that they had a reasonable excuse for the act mentioned in paragraph (a) of that subsection.,"['0.130*""subsection"" + 0.087*""charged"" + 0.087*""reasonable"" + 0.087*""prove"" + 0.087*""offence""']"
" (3)A person who commits an offence under subsection (1) is liable on summary conviction to imprisonment for a term not exceeding the maximum term for summary offences, to a fine or to both.","['0.107*""summary"" + 0.107*""term"" + 0.071*""liable"" + 0.071*""offences"" + 0.071*""maximum""']"
" (4)In subsection (3), “the maximum term for summary offences” means—","['0.200*""offences"" + 0.200*""maximum"" + 0.200*""subsection"" + 0.200*""summary"" + 0.200*""term""']"
 (5)In this section “dwelling” means—,"['0.500*""section"" + 0.500*""dwelling""']"
" and includes any yard, garden, grounds, garage or outhouse belonging to and used with a dwelling.","['0.111*""yard"" + 0.111*""dwelling"" + 0.111*""outhouse"" + 0.111*""used"" + 0.111*""garden""']"
 2Offence of being equipped for locking on(1)A person commits an offence if they have an object with them in a place other than a dwelling with the intention that it may be used in the course of or in connection with the commission by any person of an offence under section 1(1) (offence of locking on).,"['0.118*""offence"" + 0.088*""locking"" + 0.088*""person"" + 0.059*""place"" + 0.059*""may""']"
 (2)A person who commits an offence under subsection (1) is liable on summary conviction to a fine.,"['0.125*""offence"" + 0.125*""commits"" + 0.125*""subsection"" + 0.125*""liable"" + 0.125*""fine""']"
 (3)In this section “dwelling” has the same meaning as in section 1.,"['0.429*""section"" + 0.286*""dwelling"" + 0.286*""meaning""']"
 Offences relating to tunnelling3Offence of causing serious disruption by tunnelling(1)A person commits an offence if—,"['0.111*""person"" + 0.111*""offences"" + 0.111*""causing"" + 0.111*""disruption"" + 0.111*""commits""']"
" (ii)an organisation,","['0.500*""organisation"" + 0.500*""ii""']"
" in a place other than a dwelling, and","['0.500*""place"" + 0.500*""dwelling""']"
" (2)It is a defence for a person charged with an offence under subsection (1) to prove that they had a reasonable excuse for creating, or participating in the creation of, the tunnel.","['0.083*""offence"" + 0.083*""creating"" + 0.083*""charged"" + 0.083*""excuse"" + 0.083*""creation""']"
" (3)Without prejudice to the generality of subsection (2), a person is to be treated as having a reasonable excuse for the purposes of that subsection if the creation of the tunnel was authorised by a person with an interest in land which entitled them to authorise its creation.","['0.086*""creation"" + 0.086*""person"" + 0.086*""subsection"" + 0.057*""entitled"" + 0.057*""land""']"
 (4)A person who commits an offence under subsection (1) is liable—,"['0.250*""subsection"" + 0.250*""offence"" + 0.250*""person"" + 0.250*""commits""']"
 (5)For the purposes of this section—,"['1.000*""purposes""']"
 (ii)it leads to a particular destination;,"['0.250*""ii"" + 0.250*""destination"" + 0.250*""leads"" + 0.250*""particular""']"
 (ii)it is big enough to permit the entry or passage of an individual.,"['0.143*""enough"" + 0.143*""ii"" + 0.143*""permit"" + 0.143*""individual"" + 0.143*""entry""']"
 (6)References in this section to the creation of an excavation include—,"['0.250*""creation"" + 0.250*""references"" + 0.250*""section"" + 0.250*""excavation""']"
 (7)This section does not apply in relation to a tunnel if or to the extent that it is in or under a dwelling.,"['0.167*""extent"" + 0.167*""relation"" + 0.167*""tunnel"" + 0.167*""section"" + 0.167*""dwelling""']"
 (8)In this section “dwelling” has the same meaning as in section 1 (offence of locking on).,"['0.273*""section"" + 0.182*""offence"" + 0.182*""locking"" + 0.182*""meaning"" + 0.182*""dwelling""']"
 4Offence of causing serious disruption by being present in a tunnel(1)A person commits an offence if—,"['0.125*""disruption"" + 0.125*""present"" + 0.125*""offence"" + 0.125*""causing"" + 0.125*""serious""']"
" (ii)an organisation,","['0.500*""ii"" + 0.500*""organisation""']"
" in a place other than a dwelling, and","['0.500*""dwelling"" + 0.500*""place""']"
 (2)It is a defence for a person charged with an offence under subsection (1) to prove that they had a reasonable excuse for their presence in the tunnel.,"['0.100*""charged"" + 0.100*""person"" + 0.100*""prove"" + 0.100*""presence"" + 0.100*""reasonable""']"
" (3)Without prejudice to the generality of subsection (2), a person (“P”) is to be treated as having a reasonable excuse for the purposes of that subsection if P’s presence in the tunnel was authorised by a person with an interest in land which entitled them to authorise P’s presence there.","['0.103*""p"" + 0.077*""subsection"" + 0.077*""person"" + 0.077*""presence"" + 0.051*""without""']"
 (4)A person who commits an offence under subsection (1) is liable—,"['0.250*""commits"" + 0.250*""offence"" + 0.250*""person"" + 0.250*""subsection""']"
 (5)For the purposes of this section—,"['1.000*""purposes""']"
